movie,contents,score
시네마 천국,신촌cgv에서 예전시네마천국  기대했는데   너무영화가  뚝뚝 끊어지냉 ㄴ누가  편집했는지  몰라도   영화  망쳐났냉   너무티나게  짤랐냉    ...,6
시네마 천국,ost만 들어도 눈물나는 영화,10
시네마 천국,"아주  먼  훗날, 이제  더는  흘릴  눈물이 남아 있을 것 같지  않을 그 날에도 조용히 마른 가슴을 적셔줄 영화...",10
시네마 천국,"왜 죽기 전에 꼭 봐야 하는 영화인지 알겠습니다. 오늘 12시 15분에 관람했는데 정말 보는 내내 감동적이었고 사랑, 인생에 대해서 되돌아보고 생각하게 해주었습니다. 이 영화를 제작해주신 영화 감독님께 진심어린 감사를 표합니다.",10
시네마 천국,살아가는 동안 누구나 하나쯤 시네마천국을 가질것이다. 이영화는 나의 시네마천국을 생각하게 끔 한 영화이다,10
시네마 천국,마지막 장면은 절대 잊을 수 없을 것이다!,10
시네마 천국,제 인생 최고의 영화였습니다.아직도 이보다 더한 감동과그리움을 느끼는 영화는 만나지 못했어요.십대때 봤던 그 감동을 아직도 잊지못해요.재개봉해서 정말 감회가 새롭네요. 어린토토.젊은토토.감독이된 어른토토..영사기 할아버지..다시만나 반가워요.,10
시네마 천국,"방금 감독판 봤는데 이런 걸작을 지금까지 못본게 후회가 될만큼 큰 감명을 받았네요. 한 사람의 삶, 사랑, 우정, 꿈, 희망, 성공 많은 것들을 생각하게 하는 영화입니다. 토토와 재회한 엘레나가 말했던거처럼 과거는 과거로 끝내야 하는걸까요?",10
시네마 천국,너무슬프다.. 말그대로 명작이다,10
시네마 천국,시대는 변하고 기억은 변하지 않기때문에아름답게 추억할수있는 과거,8
시네마 천국,영화는 무엇일까? 인생의 또다른 말이 아닐까?,8
시네마 천국,글 남기려다 다른 글들 봤는데 감독판이 있나봐요? 감독판은 얼마나 더 대단할까... 감독판 꼭 보고싶네요.,8
시네마 천국,1990년 고1때 영화관에서 돈주고 2번 본영화~친척언니랑 여름방학때보고 넘감동적인 영화여서 친구들과 또보고..오늘 24년이지나서 ebs에서 리뷰했어요..나이들면서 알프레도의 대사를 좀더 잘 이해합니다^^,10
시네마 천국,"단언컨대, 시네마 천국은 최고의 영화입니다",10
시네마 천국,마지막 장면은 울지 않고는 볼 수 없었다는...,10
시네마 천국,최고의 영화를 지금 다시 볼 수 있어서 좋았습니다.,9
시네마 천국,요즘 영화에 비하면 전개가 느리고 긴 시간이라 지루할 수 있지만 결말 여운이 평생감 진짜,10
시네마 천국,어떠한 긴 말보다 엄청난 감동이 밀려오는 영화입니다.,10
시네마 천국,내  인생의 명화.  love theme이 흘러나올 때면 가슴이 벅차오른다.,10
시네마 천국,이 영화에 10점 못 주는 사람은 가슴 어딘가에 이상이 있지 않을까?,10
시네마 천국,1989년 문산극장!이제야 평을 올립니다알프레도! 그곳에서 편안하신가요?십대의 어느날...시네마천국을 만날수 있어 행복했습니다토토! 잘 지내고있니?,10
시네마 천국,"축약판이 인생의 희노애락을 담았다면 감독판은 그 중 희에 조금 더 많은 혜택을 준 듯 하다. 그래서 감독판을 좋아하는 사람들이 더 많이 보이는 것 같음..  개인적으론 둘 다 각각의 매력이 있다. 전자는 따스해서, 후자는 따뜻해서",10
시네마 천국,OST도 명곡이고 영화도 명화다. 재개봉 소식에 감동이 다시 살아난다.,10
시네마 천국,내 평생 영화가 아름다워서 운건 처음이네...,10
시네마 천국,"병사는 99일째 밤이되어서야깨달았다.공주가 일개 병사인 자신과는 어울리지않는사람이라는사실을.자신을 따라 화려하고풍족한 성밖을벗어나면 언젠간 반드시 불행해하리라,그리고 진심으로그녀를사랑한다면 놓아주어야 한다는것을.그렇게 병사는 99일째밤 조용히 사라졌다",10
시네마 천국,나의 최고 인생영화 어리석은 선택과 후회 그리움이 밀려들 때마다 한번씩 보면서...지난날을 돌아보게 하는 영화,10
시네마 천국,내 인생 베스트3안에 드는 영화...,10
시네마 천국,내인생최고의영화~~,10
시네마 천국,한 남자의 인생을 보았습니다.. 마지막 키스장면에 눈물이..,10
시네마 천국,final theme 나오는데 눈물나더라...,10
시네마 천국,그냥 하염없이 눈물나는 영화,10
시네마 천국,그냥 마지막 장면에서 소리내서 울었다,10
시네마 천국,인생영화 국민학교때 주말의 명화때 보고 펑펑울었는데 그때의 감동과 감성이 평생 내 자양분이 되었네요,10
시네마 천국,몇번을 봐도 감동이네요,10
시네마 천국,나이가 들어 다시보면 또 다른 느낌일 것 같은 명작. 마지막 씬에 엔니오 모리꼬네의 러브테마가 흐르니까 더 극적으로 와닿았습니다. 전국을 돌아다니며 영화 상영을 하시던 돌아가신 할아버지가 생각이 납니다.,10
